sal_3_lc2vs0_iate,empl_x0
-36248.39900682035,91.0
-23927.340710195363,59.0
-19546.89919042666,47.0
-34254.26787459609,86.0
-33733.493152236944,92.0
-17213.560136640168,43.0
-17044.210952724352,96.0
-23781.457136432167,63.0
-31285.82283243459,98.0
-20676.225186935797,90.0
-32995.24550837299,71.0
-26595.636500593253,54.0
-31153.982879507163,24.0
-23576.296279662252,76.0
-39510.38616857021,66.0
-30188.647324184243,55.0
-16871.71010301556,86.0
-24932.775030952223,99.0
-32977.7708401807,64.0
-21244.700281667057,64.0
-32437.894351351668,95.0
-31370.375880493277,40.0
-27892.00536717032,64.0
-19660.118467224416,62.0
-17748.00278695475,93.0
-29092.65260541947,37.0
-33344.385939108106,101.0
-21560.119373151567,101.0
-21226.07496377924,48.0
-18971.799108470062,58.0
-23198.891639164533,47.0
-23256.9528420103,65.0
-19055.29900610202,64.0
-17341.844053126573,39.0
-38502.462672541806,62.0
-19448.36926062465,90.0
-18608.65914848511,53.0
-38275.431442445035,78.0
-18714.354574612444,88.0
-25055.619989245788,86.0
-24420.34184085841,76.0
-18613.167266257256,62.0
-17159.415520436934,66.0
-21675.125114425016,89.0
-29069.00570838557,79.0
-18319.943361500045,69.0
-24608.286294475416,77.0
-36260.85941683205,93.0
-24617.034604234635,65.0
